ID, NOMBRE, REGISTROCAMARACOMERCIO, TIENESALAESTUDIO, TIENESALAESPARCIMIENTO, TIENEGIMNASIO, TIENERESTAURANTE 
 lacinia condimentum sagittis,22776  Brazil Ln.,47747,47747,0,0,1,1
 nascetur condimentum facilisis,13065 South Bermuda Blvd.,47748,47748,0,0,0,0
 Praesent mattis justo,64472  Honduras Ln.,47749,47749,0,0,0,0
 arcu turpis placerat,81736 East Martinique Ave.,47750,47750,1,0,0,1
 inceptos porta cubilia,56255 North Brooklyn Park Ave.,47751,47751,0,0,0,0
 molestie condimentum sem,56308  Bradbury Blvd.,47752,47752,0,1,0,1
 Phasellus convallis dapibus,20749 East American Samoa St.,47753,47753,0,1,0,0
 ligula lacinia et,10958 East Puerto Rico Ln.,47754,47754,1,1,1,1
 Ut egestas tincidunt,91652 East Brunei Darussalam Ave.,47755,47755,1,1,0,0
 mus elementum lacus,71326 South Peru Ln.,47756,47756,0,1,1,1
 sollicitudin vestibulum litora,71286 West Broken Arrow Ave.,47757,47757,0,1,0,0
 mauris ligula ultricies,38016 South Cedar Falls Blvd.,47758,47758,0,0,0,0
 Ut commodo lorem,14304  Saudi Arabia Ct.,47759,47759,1,0,0,0
 fringilla mi neque,63527  Colombia St.,47760,47760,0,0,0,1
 nec aptent feugiat,67691 East Bulgaria St.,47761,47761,0,0,0,0
 Vivamus Proin nunc,52485  El Monte Blvd.,47762,47762,1,1,1,0
 pharetra habitant pharetra,80851 East Virgin Islands, British Way,47763,47763,0,0,1,1
 mus dis Aliquam,58097 West Tonga Ln.,47764,47764,1,1,0,1
 a dictum nisi,27087 South Nepal St.,47765,47765,1,0,0,1
 tempus vel Aenean,82876  Anguilla Way,47766,47766,1,0,1,1
 dolor tempus eros,52348 South Luxembourg St.,47767,47767,1,0,1,1
 amet Nullam dignissim,84897 South Senegal Way,47768,47768,0,0,1,1
 adipiscing Suspendisse a,19839 East Bosnia and Herzegovina Way,47769,47769,0,0,1,0
 iaculis at nibh,45430 West Chile St.,47770,47770,1,1,0,1
 id elit dis,70385 East Bell St.,47771,47771,1,0,1,0
 pulvinar erat cursus,86534  Belarus Ln.,47772,47772,1,0,0,0
 turpis facilisi per,98446 North Attleboro Ln.,47773,47773,0,0,1,1
 Aliquam nunc rhoncus,57230  Aruba Ave.,47774,47774,1,0,1,0
 sociis ultrices leo,26372 North Erie Blvd.,47775,47775,1,0,0,1
 porttitor dui montes,87334 South Hayward Ave.,47776,47776,0,0,0,1
 id porttitor Pellentesque,40483 West Bahrain Way,47777,47777,0,1,0,1
 viverra dis tincidunt,80047 West Sri Lanka Ct.,47778,47778,0,1,0,1
 risus conubia eu,15046  Fairfield Ct.,47779,47779,0,1,1,0
 velit varius viverra,36709 North East Lansing Ln.,47780,47780,0,0,1,0
 risus litora hendrerit,5458 West Virgin Islands, U.S. St.,47781,47781,1,1,0,1
 nostra metus erat,13375 North Tunisia Ct.,47782,47782,0,1,0,1
 magnis et bibendum,11915  Ethiopia Ave.,47783,47783,0,0,0,1
 pellentesque laoreet Etiam,50289 North Guinea St.,47784,47784,1,1,1,0
 tristique Proin rutrum,21616  Baldwin Park Ct.,47785,47785,1,1,0,1
 consectetuer vehicula sociis,7816 South Kenya Way,47786,47786,1,1,0,1
 Proin sociis eleifend,3522 East Pakistan Way,47787,47787,0,0,1,0
 dis lacinia lacinia,55858  Albania Ct.,47788,47788,1,1,1,0
 Suspendisse dignissim In,45233 South Switzerland Blvd.,47789,47789,1,1,0,0
 Curae Suspendisse non,78390 West Aruba Ave.,47790,47790,0,1,0,1
 pharetra Mauris sapien,97240 West Switzerland Way,47791,47791,0,1,0,1
 augue erat euismod,7054 East Burbank St.,47792,47792,1,1,1,1
 turpis at quam,68147 North Cocos Keeling Islands St.,47793,47793,1,1,1,0
 magna ridiculus velit,76635 South Bahrain Way,47794,47794,0,1,0,0
 enim diam Pellentesque,84340 North Cambodia Ave.,47795,47795,1,0,1,1
 montes blandit In,91627 East Botswana Ave.,47796,47796,0,1,1,0
 cursus malesuada Suspendisse,83776  Chad Ln.,47797,47797,0,0,1,1
 fames ullamcorper massa,46279 East Andorra Ct.,47798,47798,1,1,0,1
 vitae lobortis pulvinar,6397 East Armenia Ave.,47799,47799,0,0,1,1
 luctus Phasellus dapibus,50883 North Pakistan Ave.,47800,47800,1,1,0,1
 leo semper senectus,51031 West Oshkosh Way,47801,47801,0,1,0,1
 lobortis rutrum parturient,86124 West Kiribati Blvd.,47802,47802,0,0,1,0
 Curabitur In sagittis,49196 North American Samoa Blvd.,47803,47803,1,0,0,0
 posuere Mauris Praesent,23447 South Ocean City Ct.,47804,47804,0,0,0,0
 auctor tempus suscipit,78502 South Equatorial Guinea Blvd.,47805,47805,1,1,1,1
 leo ridiculus Vestibulum,80177 East Guinea Blvd.,47806,47806,0,0,0,0
 Aliquam eu sodales,89034 West High Point Ln.,47807,47807,1,1,0,1
 augue urna sodales,57961 South Kalispell Blvd.,47808,47808,0,1,1,0
 ullamcorper Donec quam,53767  Farmer City Ct.,47809,47809,1,0,1,1
 parturient nisl Class,44750 North Belgium Ln.,47810,47810,1,1,0,0
 massa varius suscipit,52099 East Sao Tome and Principe Ave.,47811,47811,0,1,1,1
 Nunc pretium sit,34106  Norman Ct.,47812,47812,1,1,1,1
 molestie faucibus sollicitudin,27278  Fallon Ln.,47813,47813,0,1,0,1
 dapibus est natoque,89635 East Holy See Vatican City State Ct.,47814,47814,0,1,1,0
 parturient rhoncus mollis,62120 East Australia Way,47815,47815,1,0,0,0
 non quis Fusce,31611 West Cape Verde Blvd.,47816,47816,0,1,1,1
 lectus malesuada morbi,87733 East Fiji Blvd.,47817,47817,0,1,0,0
 lectus pellentesque ante,78206 South Guatemala Blvd.,47818,47818,1,0,1,0
 leo leo fringilla,82158  Christmas Island Ave.,47819,47819,1,1,1,0
 sociis Lorem Sed,36111 East Bahrain Ln.,47820,47820,1,1,0,0
 risus Nullam a,41034 South Nicaragua Ave.,47821,47821,0,1,0,1
 taciti lacus iaculis,33544 East Andorra Ct.,47822,47822,0,0,1,1
 ac eros purus,20153 West Philippines Ct.,47823,47823,0,1,1,0
 ipsum porta nisi,93976 North Switzerland Blvd.,47824,47824,1,0,1,0
 sodales sagittis ullamcorper,36677 East Svalbard and Jan Mayen St.,47825,47825,1,1,1,1
 per mattis nibh,53739 North Central African Republic Ln.,47826,47826,1,1,1,1
 nascetur nec luctus,40542 South Moldova Ct.,47827,47827,1,0,0,0
 Aliquam Integer pharetra,24492 South Ethiopia Ave.,47828,47828,1,1,0,0
 ornare ornare Pellentesque,19189 South Peru St.,47829,47829,0,1,0,0
 Curabitur eros vulputate,93223 North China Ln.,47830,47830,1,1,0,0
 laoreet suscipit Lorem,7393 West Hamilton Ave.,47831,47831,1,0,0,0
 rhoncus Nam quam,49845 East Uruguay Ct.,47832,47832,0,1,0,0
 Etiam Curabitur morbi,87660 West Mozambique Blvd.,47833,47833,0,0,0,0
 Mauris Nunc a,85475 East Cayman Islands Ln.,47834,47834,1,0,1,0
 nisi sit ut,39547 West Canada Ln.,47835,47835,1,0,0,1
 lobortis aliquam orci,66547 South Korea Ave.,47836,47836,1,0,0,1
 Nunc Suspendisse Nulla,89725 East Guinea Ave.,47837,47837,1,1,0,0
 sociis est pretium,67069 South Australia Way,47838,47838,1,1,1,1
 vel tincidunt euismod,48910 East United Kingdom Way,47839,47839,1,0,1,1
 Vestibulum fames gravida,42325 South Saint Helena Way,47840,47840,1,1,0,1
 vitae tristique litora,89840 East Mexico Ave.,47841,47841,0,0,1,1
 Proin arcu Curabitur,24658 East Turkmenistan Blvd.,47842,47842,1,0,1,1
 netus lacus feugiat,93097 East Loudon St.,47843,47843,0,1,1,0
 scelerisque neque senectus,21477 North Sweden Way,47844,47844,1,0,1,0
 libero tortor volutpat,54329  High Point Ln.,47845,47845,0,1,1,0
 est at Nam,30498 North Cook Islands Blvd.,47846,47846,0,0,1,0
 sem Nulla augue,31930 West United States Minor Outlying Islands Ln.,47847,47847,1,0,1,1
 iaculis pellentesque sodales,7753 West Idaho Falls Ave.,47848,47848,1,0,0,1
 volutpat amet lorem,34686 East Henderson Way,47849,47849,1,0,1,1
 cursus faucibus id,60214  Afghanistan Way,47850,47850,1,1,1,1
 fermentum magna Pellentesque,71382 North Tunisia Ln.,47851,47851,0,1,0,0
 eu Pellentesque tempus,23590 South South Georgia and The South Sandwich Islands St.,47852,47852,1,0,0,0
 iaculis nibh mollis,54958 East Kenya Ln.,47853,47853,1,0,0,1
 dignissim ac laoreet,92252 East Grenada Blvd.,47854,47854,0,1,1,1
 Maecenas mollis leo,84708 North Littleton Ln.,47855,47855,0,0,0,1
 tristique scelerisque Proin,1382 West New Zealand St.,47856,47856,1,0,1,1
 mollis cursus nascetur,28587 North Cape Verde Ave.,47857,47857,0,0,1,0
 Cras senectus facilisi,75555 West Belgium Way,47858,47858,1,1,0,1
 gravida libero tincidunt,99163 North France St.,47859,47859,1,0,0,0
 elementum mus In,25829 West Miami Gardens Ln.,47860,47860,1,0,0,0
 placerat faucibus ante,79712 North American Samoa Blvd.,47861,47861,0,1,1,1
 molestie sem posuere,15416 West Commerce Ln.,47862,47862,0,1,0,0
 tincidunt turpis a,76229 South Bermuda Blvd.,47863,47863,1,0,0,1
 tellus eu Maecenas,86063 South Greenfield Ave.,47864,47864,1,1,0,1
 Donec elementum sapien,13130  Claremont St.,47865,47865,1,0,1,0
 massa ullamcorper Donec,47451 East Fiji Ct.,47866,47866,1,1,0,1
 massa dolor eros,61989  Serbia and Montenegro Ave.,47867,47867,0,1,0,0
 Nullam cursus Ut,29838 East Belgium Ln.,47868,47868,0,1,1,0
 Cras taciti eu,58786 East Vanuatu Way,47869,47869,1,1,0,0
 a Nunc ultrices,1687 South Burundi Blvd.,47870,47870,1,1,0,0
 parturient mauris auctor,48428 East Covington Ave.,47871,47871,0,0,1,1
 euismod vitae mus,46105  Chino Hills Blvd.,47872,47872,1,0,0,0
 dui vulputate congue,4981 West Syrian Arab Republic Ave.,47873,47873,0,1,1,1
 dapibus semper pede,45173 South Cayman Islands Ln.,47874,47874,1,0,0,1
 aliquam Lorem pretium,66643 North Christmas Island Ln.,47875,47875,1,1,1,0
 Fusce nunc ante,57123 West Chile St.,47876,47876,1,0,1,0
 ligula Pellentesque scelerisque,43897  Norway Ln.,47877,47877,1,0,1,1
 malesuada cursus auctor,34783 West Bahamas St.,47878,47878,1,1,0,0
 Curae vulputate quis,34811 East Bartlesville Blvd.,47879,47879,0,0,0,1
 ante quis quis,34564 East Norfolk Island Ct.,47880,47880,0,1,0,0
 arcu sodales nisl,28311 West Antigua and Barbuda Ct.,47881,47881,1,1,1,1
 gravida ac est,97552 South Canada Ct.,47882,47882,1,1,1,0
 Integer pulvinar Sed,94911 North Bolivia Ln.,47883,47883,1,0,1,0
 non risus tellus,79454 South Bay St. Louis St.,47884,47884,0,0,0,0
 ante sem lectus,94265 South Austria Way,47885,47885,0,0,1,1
 ad nibh malesuada,73968 East Central African Republic Blvd.,47886,47886,0,1,1,1
 Maecenas adipiscing vehicula,52212 East Georgia Ave.,47887,47887,1,1,0,1
 condimentum urna sem,3889 North Durango Way,47888,47888,0,1,0,0
 augue Morbi felis,11573 South Barbados Ct.,47889,47889,0,0,1,1
 justo ornare taciti,80749 West United Kingdom St.,47890,47890,1,1,0,1
 per In feugiat,99921 North Spain Ct.,47891,47891,0,0,1,0
 rutrum fermentum dui,79407 East Georgia Way,47892,47892,1,1,0,1
 quam senectus ultrices,7988 West Hermitage St.,47893,47893,1,1,1,0
 nibh mollis amet,67177 North Brazil St.,47894,47894,0,1,0,0
 odio fermentum viverra,33492 South Latvia St.,47895,47895,1,1,1,1
 Ut sed senectus,41238 North Dearborn Blvd.,47896,47896,1,1,0,0
 Duis luctus Pellentesque,77752  Norfolk Island Way,47897,47897,0,1,0,0
 rhoncus tempor semper,23103 North New Zealand Blvd.,47898,47898,0,0,0,0
 sem Etiam mus,29131 East Mali Ave.,47899,47899,0,1,1,0
 mus sociosqu dictum,6938 North Central African Republic Ln.,47900,47900,0,1,1,0
 suscipit varius elementum,20864 East College Station Way,47901,47901,0,0,0,1
 Donec dis dui,38357 East Pakistan Way,47902,47902,1,1,0,0
 dapibus tempor rhoncus,37208  Antarctica Blvd.,47903,47903,1,0,1,0
 at ridiculus a,19648 North Iceland Way,47904,47904,1,1,0,1
 dui neque Vestibulum,32100  Central African Republic Blvd.,47905,47905,0,0,0,1
 elementum sit feugiat,28886 South Antarctica Blvd.,47906,47906,0,1,0,0
 varius orci diam,36849 West Mayotte Ln.,47907,47907,1,1,0,1
 torquent cubilia natoque,57881 West North Tonawanda Ln.,47908,47908,1,0,1,1
 libero tortor ornare,97998 North Cheyenne Ct.,47909,47909,1,0,0,0
 Morbi elementum Phasellus,18520 South Venezuela Ct.,47910,47910,0,0,0,1
 arcu eros id,42367 South Fitchburg Blvd.,47911,47911,1,0,0,1
 Lorem senectus a,4304 North Iran, Islamic Republic of Blvd.,47912,47912,0,0,0,0
 hendrerit Suspendisse adipiscing,58192 South Mauritania St.,47913,47913,0,1,0,1
 nascetur eros leo,37744 West Bermuda Way,47914,47914,1,0,0,0
 mus habitant Aliquam,41018 South Finland Ct.,47915,47915,1,0,1,1
 vestibulum ornare Morbi,42533 East Egypt Way,47916,47916,0,0,0,1
 tortor cubilia iaculis,65409 South Angola St.,47917,47917,0,0,1,0
 erat sollicitudin justo,57108 East Jeannette Ave.,47918,47918,1,0,1,1
 tincidunt auctor arcu,56080 North Turkey Ct.,47919,47919,0,0,1,1
 aptent libero vulputate,85427  Chad St.,47920,47920,0,1,0,1
 erat quis pulvinar,81791 West Rwanda Ave.,47921,47921,0,0,0,0
 felis cursus sociosqu,71542  Bossier City Ave.,47922,47922,0,0,1,1
 lectus Praesent et,91655 East Papua New Guinea Ct.,47923,47923,0,1,1,0
 eros massa aliquam,1123 West Atlantic City Way,47924,47924,1,1,1,0
 nibh aliquam pharetra,44635 East Appleton Ct.,47925,47925,1,0,0,1
 feugiat pellentesque vestibulum,61419 South Bandon Ln.,47926,47926,1,0,1,1
 Cras nascetur Donec,78315  Norfolk Island St.,47927,47927,0,1,1,0
 sit pellentesque malesuada,16602 South Egypt Ct.,47928,47928,0,0,0,0
 placerat dis Sed,32702 North Moultrie Ln.,47929,47929,1,1,1,1
 aptent ante Maecenas,70356  Gilette Ct.,47930,47930,1,1,1,0
 dignissim nascetur velit,33750 North Cocos Keeling Islands Ave.,47931,47931,0,1,1,0
 condimentum consequat pharetra,50615 North Turkey Ave.,47932,47932,0,1,1,1
 Donec Morbi lacus,90556 East Norfolk Island Ln.,47933,47933,1,1,1,1
 Curabitur porta hendrerit,44962 South Akron St.,47934,47934,1,1,0,1
 risus gravida congue,16548 South Pico Rivera Ct.,47935,47935,0,1,1,1
 justo commodo cubilia,90844 East Bolivia St.,47936,47936,0,1,1,0
 urna nisl sociosqu,41318 West Kennewick Ct.,47937,47937,1,1,1,1
 urna hendrerit Phasellus,68671 East Healdsburg Way,47938,47938,1,1,0,0
 quis lectus congue,365 East French Guiana St.,47939,47939,0,1,0,0
 Nullam dictum quam,51350 West Greece Ln.,47940,47940,1,1,0,0
 nulla ultricies feugiat,90463 South Qatar Ct.,47941,47941,1,0,1,0
 risus nisl elit,16611 South Cook Islands Blvd.,47942,47942,1,1,0,0
 a hymenaeos dui,15482 East Saudi Arabia Ln.,47943,47943,1,1,0,1
 scelerisque parturient augue,60980 North Eritrea Ct.,47944,47944,1,1,1,0
 pede Praesent parturient,48272 North Macao Ct.,47945,47945,1,1,0,1
 Praesent risus placerat,6591 East Sweden St.,47946,47946,1,1,0,0
 porttitor id sit,61087 West Central African Republic Blvd.,47947,47947,1,0,1,0
 Etiam Fusce dignissim,14383 North American Samoa Way,47948,47948,0,1,0,0
 et volutpat hendrerit,11585 North Agawam Ave.,47949,47949,1,1,0,0
 massa inceptos eu,69728 West Mongolia Ave.,47950,47950,1,0,0,0
 non tempus laoreet,46825 East United Arab Emirates St.,47951,47951,0,1,1,1
 sociis Duis leo,46215 South Canada Ln.,47952,47952,1,1,1,0
 Nunc interdum Maecenas,31390  Lawrenceville Ave.,47953,47953,1,0,0,0
 torquent Aenean senectus,3938 West Norfolk Island Way,47954,47954,0,0,1,0
 erat per In,19203 East Norway St.,47955,47955,0,0,1,0
 mi mus tellus,66020 West Saudi Arabia Blvd.,47956,47956,0,1,1,1
 Praesent consequat metus,33911  Argentina St.,47957,47957,1,0,1,1
 Maecenas neque tellus,67426 North Russian Federation Ave.,47958,47958,0,1,0,1
 Nam consectetuer mauris,3057 West Algeria Way,47959,47959,1,1,1,1
 torquent inceptos Mauris,31052 South Norfolk Island St.,47960,47960,1,0,0,1
 taciti faucibus vulputate,93972 West Corinth Way,47961,47961,1,1,1,0
 primis vulputate dictum,23185 East New Bedford Blvd.,47962,47962,1,0,1,0
 Ut scelerisque velit,40792  Togo St.,47963,47963,1,0,0,1
 magna Curabitur cursus,47266 South Bermuda Ave.,47964,47964,1,0,1,0
 pulvinar varius Etiam,88390 West Holy See Vatican City State Ln.,47965,47965,0,1,0,1
 pellentesque ullamcorper Ut,28390  Butler Ln.,47966,47966,1,0,1,0
 porttitor egestas Cras,65685 South Bermuda Ct.,47967,47967,0,1,1,0
 non mollis tempor,16414 North Mali Ln.,47968,47968,1,1,0,0
 tempor ullamcorper eros,81869 East Jamaica Ct.,47969,47969,1,0,0,0
 lobortis tempus semper,8405 East Eritrea Ct.,47970,47970,0,1,1,1
 dignissim Aliquam facilisis,72001  Newburgh Ln.,47971,47971,0,1,1,1
 cubilia arcu Maecenas,83419  Faroe Islands Ln.,47972,47972,1,1,0,1
 taciti Suspendisse nunc,61208 South Fairmont Ave.,47973,47973,0,0,0,0
 ac sem volutpat,98156 South Atlantic City Way,47974,47974,1,1,0,1
 a venenatis Praesent,83413 East Comoros Way,47975,47975,1,1,0,0
 taciti Nam Fusce,6348 West Argentina Way,47976,47976,1,1,0,1
 aliquam lectus sem,94974 East Fiji Blvd.,47977,47977,1,0,0,1
 Lorem pretium Ut,10172 North Christmas Island Ct.,47978,47978,1,0,1,1
 primis Vivamus ac,68124 North Nampa Ave.,47979,47979,0,1,0,1
 eleifend ut eu,97361 East Armenia St.,47980,47980,0,0,1,0
 Etiam Duis purus,15436 North Bolivia Ave.,47981,47981,1,1,0,0
 facilisi Mauris libero,60383  Canada Ln.,47982,47982,0,0,1,0
 felis Aliquam dolor,60863 West Gabon St.,47983,47983,0,1,0,0
 Cras mus inceptos,40158 South Anguilla Ln.,47984,47984,1,1,1,0
 natoque fringilla leo,3359 West Dominica Blvd.,47985,47985,1,1,1,0
 venenatis bibendum fermentum,16286  Bosnia and Herzegovina Blvd.,47986,47986,0,1,0,1
 turpis ut massa,96354 North Cape Verde Way,47987,47987,1,1,1,1
 suscipit turpis a,97052 West Bahamas Way,47988,47988,0,0,0,1
 tristique convallis hymenaeos,96003  Eritrea St.,47989,47989,0,1,1,0
 dolor dui Aenean,62690 South Cape Verde Ave.,47990,47990,1,0,0,1
 leo Curabitur velit,75134  Trinidad and Tobago St.,47991,47991,0,1,0,0
 litora posuere senectus,2290 South Muskegon St.,47992,47992,0,1,1,0
 mauris ultrices dui,19723 East Tanzania, United Republic of Blvd.,47993,47993,0,0,1,0
 in at Mauris,96099 South Latvia St.,47994,47994,1,1,1,0
 Nulla tempor sed,69486  Colombia Ave.,47995,47995,0,1,0,0
 ut conubia vehicula,29293  Netherlands Ln.,47996,47996,1,1,0,1
 nibh Fusce Mauris,51214 South Bosnia and Herzegovina Way,47997,47997,1,1,1,0
 Suspendisse accumsan faucibus,3976 South Ames Blvd.,47998,47998,1,1,1,0
 Nam ut neque,26231  Venezuela Ave.,47999,47999,1,0,0,0
 erat quis lectus,84541 South Brownsville Ave.,48000,48000,0,0,1,0
 ad ad posuere,88357  Bahamas Ct.,48001,48001,0,1,1,0
 Duis lacus Vestibulum,54555  Bahamas St.,48002,48002,0,0,1,1
 porta porttitor Duis,75385 North Kiribati Ct.,48003,48003,1,0,1,0
 fames quis bibendum,51344 East Guatemala Way,48004,48004,0,0,1,1
 Class Cras cubilia,76890 East Turkmenistan St.,48005,48005,1,1,1,0
 sem nascetur ipsum,75902 West Zambia Ave.,48006,48006,0,1,1,0
 sed fermentum neque,36033  Saint Vincent and The Grenadines Ct.,48007,48007,0,1,0,0
 aliquam Duis accumsan,51701 East Gibraltar Way,48008,48008,1,1,0,0
 interdum Ut mus,35394 North Mauritania Way,48009,48009,1,0,1,0
 venenatis lobortis sagittis,34517  Colombia Ct.,48010,48010,1,1,1,0
 orci placerat vestibulum,7530 West Chile Blvd.,48011,48011,1,1,1,1
 felis metus rhoncus,77507  Central African Republic Ave.,48012,48012,0,0,1,1
 Pellentesque sociosqu Sed,23269  Cedar Rapids St.,48013,48013,1,1,0,1
 metus fames gravida,35963 West Tokelau Ct.,48014,48014,1,0,0,0
 venenatis mollis natoque,40451 North Burundi Ct.,48015,48015,0,1,1,1
 ut elementum In,41310 North El Salvador Way,48016,48016,1,1,0,0
 sed sagittis ridiculus,96382 West Franklin Way,48017,48017,0,1,0,1
 mauris vulputate lacinia,53363 South Cook Islands Ct.,48018,48018,0,0,0,0
 eget lobortis sapien,47281 South Bend Ln.,48019,48019,0,1,0,1
 lacinia Phasellus cursus,2809 East Eritrea St.,48020,48020,0,1,0,0
 magna quam dictum,32912 East Afghanistan Ln.,48021,48021,1,1,1,0
 venenatis molestie conubia,50876 East Duquesne Blvd.,48022,48022,0,0,1,1
 elementum lectus Nulla,93271 South Andorra Blvd.,48023,48023,1,0,1,0
 nostra Nulla elit,87999 East Taiwan, Province of China St.,48024,48024,1,0,0,1
 fringilla Donec senectus,12189 South Rwanda Ave.,48025,48025,0,0,0,0
 molestie interdum diam,5303 West Anguilla Blvd.,48026,48026,0,1,0,0
 ipsum urna scelerisque,94526 South Armenia Ct.,48027,48027,1,1,0,1
 metus auctor hymenaeos,13347  Christmas Island Way,48028,48028,0,1,1,1
 litora suscipit Etiam,48091 North Cedar City Ave.,48029,48029,0,1,1,1
 augue nostra litora,32309 South Guayanilla Ct.,48030,48030,0,1,1,0
 Donec volutpat nostra,57380 North Kyrgyzstan Ct.,48031,48031,0,0,1,0
 Vivamus Maecenas Nulla,88624 West Claremont Ct.,48032,48032,0,1,1,1
 libero lacus ridiculus,69495 North Cumberland Ave.,48033,48033,1,1,1,0
 Morbi Nunc a,96482 North Cook Islands Blvd.,48034,48034,0,1,1,1
 imperdiet rutrum lobortis,83405  Burkina Faso Ln.,48035,48035,0,1,1,0
 nascetur taciti mauris,5646 North Belgium Ln.,48036,48036,0,1,1,0
 interdum viverra egestas,2896 North Concord Ln.,48037,48037,1,0,0,1
 taciti faucibus nunc,4777 West Togo St.,48038,48038,1,1,0,1
 et litora vehicula,59574  Antarctica St.,48039,48039,1,1,1,1
 blandit blandit nulla,8154 West United Kingdom Ln.,48040,48040,1,0,0,1
 Etiam eros faucibus,52908 East Grenada Ln.,48041,48041,1,1,0,1
 Fusce fames ante,73131  Dover Way,48042,48042,1,0,1,1
 hymenaeos nonummy volutpat,16105 East Cedar Rapids St.,48043,48043,0,0,0,0
 dolor Etiam sed,75146  Netherlands Ct.,48044,48044,1,1,0,1
 Ut In Mauris,16409 West Aruba Blvd.,48045,48045,0,1,1,1
 elit Donec accumsan,64648 South Albany Blvd.,48046,48046,0,0,1,1
 porttitor ac bibendum,74531 North Greece St.,48047,48047,0,0,1,0
 per pulvinar odio,74252 East Myanmar Ave.,48048,48048,0,0,1,0
 dignissim aliquet eu,73602  Madagascar Way,48049,48049,1,0,1,0
 a quam faucibus,87934  Honduras Ave.,48050,48050,1,1,1,0
 purus neque elementum,94403  Croatia St.,48051,48051,0,1,0,1
 facilisi nisi ad,64307 East Grenada Ln.,48052,48052,0,0,0,0
 conubia nunc malesuada,79727 North Suriname Way,48053,48053,1,0,1,0
 quam congue convallis,30746 West Congo Ct.,48054,48054,1,1,1,1
 blandit vehicula eros,26385 North Ecuador Ave.,48055,48055,1,0,1,0
 lacus mollis Class,14837 East Virgin Islands, U.S. Ln.,48056,48056,0,0,0,1
 Nam porttitor magnis,68314  Timor-leste St.,48057,48057,1,0,1,1
 lacus Aenean viverra,25539 East Malta Blvd.,48058,48058,0,1,0,1
 molestie nonummy turpis,7753  Honduras Way,48059,48059,0,0,1,0
 cubilia penatibus porta,4002 North Cyprus Ct.,48060,48060,0,0,0,0
 in blandit nostra,73185 East Australia Ct.,48061,48061,1,0,1,0
 egestas ante elementum,16714  Western Sahara Way,48062,48062,0,1,1,1
 felis hendrerit condimentum,55727 North Netherlands St.,48063,48063,0,1,0,1
 faucibus Cras a,74626 South Oneida Ave.,48064,48064,0,0,0,0
 vestibulum primis at,8357 East Bahrain Way,48065,48065,1,1,1,1
 Nam mollis bibendum,89994 West Anguilla St.,48066,48066,1,1,0,0
 cursus orci scelerisque,33498 North Apple Valley Ct.,48067,48067,1,1,1,0
 eros Sed taciti,65281 West Chad Blvd.,48068,48068,0,0,0,1
 cubilia vitae diam,27147 North Ghana Way,48069,48069,0,1,1,0
 posuere Phasellus Cum,52667 West Aruba Ln.,48070,48070,1,1,0,1
 sociis ullamcorper bibendum,54697 West Ukraine Way,48071,48071,0,1,0,1
 litora pharetra dapibus,5926 West Latvia Way,48072,48072,1,1,1,1
 sit aliquam bibendum,48427 South Belize Ave.,48073,48073,0,1,1,0
 pellentesque Sed pellentesque,59979 East Moldova Blvd.,48074,48074,0,0,0,1
 tortor justo hendrerit,462 West Andorra Ln.,48075,48075,1,1,1,1
 nisl consectetuer cubilia,97066 South Bahamas Ln.,48076,48076,0,0,1,1
 ornare commodo euismod,48275 North Nicaragua Ln.,48077,48077,1,0,1,1
 id aliquet rutrum,54840  Bremerton Ln.,48078,48078,0,1,1,1
 rutrum vestibulum nostra,42163 North Gastonia Blvd.,48079,48079,0,1,0,1
 per massa massa,32231 South Canada Ln.,48080,48080,0,0,1,1
 sagittis gravida ac,74510  Kansas City Blvd.,48081,48081,0,1,0,0
 Curae bibendum ipsum,94300 East Gastonia Ln.,48082,48082,1,0,0,1
 luctus eros senectus,49236 East Macedonia St.,48083,48083,1,0,0,1
 tellus tortor In,34413  Bethany St.,48084,48084,1,1,0,0
 vehicula semper accumsan,27656 South Algeria St.,48085,48085,1,1,0,1
 consectetuer est euismod,74021  Mayagüez Way,48086,48086,0,1,1,0
 habitant quam ultrices,97640  China Ct.,48087,48087,0,0,1,0
 lobortis tristique volutpat,74460  Tonga Ln.,48088,48088,0,1,1,0
 lacinia interdum taciti,88919 South Fall River Way,48089,48089,0,1,0,0
 fermentum Praesent euismod,4442 South Honduras Way,48090,48090,1,0,0,0
 Cum ridiculus metus,81212 East Bahrain Ave.,48091,48091,0,0,0,0
 urna hymenaeos inceptos,491 North Narragansett St.,48092,48092,0,1,1,1
 ultrices mauris placerat,18777  Egypt St.,48093,48093,1,1,0,1
 lobortis augue primis,79831 North Bermuda Blvd.,48094,48094,0,0,1,0
 Fusce pellentesque blandit,70047 West Argentina Ave.,48095,48095,0,1,1,0
 sagittis parturient varius,76699 North French Guiana Ln.,48096,48096,1,1,0,1
 dictum cursus porta,42681 South Maldives Blvd.,48097,48097,0,1,0,0
 Nam molestie nonummy,1436 North Butler Blvd.,48098,48098,1,1,0,0
 Praesent mattis nonummy,98490 West United States Minor Outlying Islands Ct.,48099,48099,0,0,1,1
 aliquam placerat dolor,18005 North Las Cruces St.,48100,48100,1,1,1,0
 sollicitudin sed amet,93053 South French Guiana Ave.,48101,48101,0,0,0,1
 risus arcu nibh,31473 South El Salvador Ave.,48102,48102,0,1,0,1
 ultrices tempus egestas,1863 West Fiji Blvd.,48103,48103,0,1,1,0
